epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,10324.9,0.37899,0.28862,0.86493,0.95926,0.9748,0.98595,0.94174,0.30679,0.16598,0.83731,0.00747973,0.00747973,0.00747973
73,10476.3,0.37639,0.2919,0.86428,0.96063,0.97349,0.98577,0.94481,0.30502,0.1648,0.83648,0.00741601,0.00741601,0.00741601
74,10641.7,0.36916,0.28612,0.86028,0.96478,0.9704,0.98385,0.9425,0.3013,0.16212,0.83558,0.00735181,0.00735181,0.00735181
75,10778.2,0.37289,0.29386,0.86396,0.96121,0.97159,0.98333,0.94002,0.30223,0.16369,0.8362,0.00728717,0.00728717,0.00728717
76,10911,0.37336,0.28646,0.86221,0.95894,0.97192,0.98549,0.94498,0.30385,0.16395,0.83629,0.00722208,0.00722208,0.00722208
77,11038.5,0.36798,0.28155,0.86107,0.95345,0.96832,0.98256,0.93974,0.30226,0.16086,0.83526,0.00715656,0.00715656,0.00715656
78,11207.3,0.37374,0.29041,0.86438,0.95913,0.97664,0.98616,0.94342,0.30464,0.16462,0.83642,0.00709064,0.00709064,0.00709064
79,11342.9,0.3744,0.29035,0.86461,0.96547,0.97325,0.98502,0.93998,0.30267,0.16398,0.83476,0.00702432,0.00702432,0.00702432
80,11510.4,0.37027,0.28431,0.86258,0.95521,0.97729,0.98285,0.93877,0.30123,0.16168,0.83489,0.00695763,0.00695763,0.00695763
81,11685.4,0.3716,0.28373,0.86263,0.96336,0.97071,0.98454,0.94009,0.3033,0.1629,0.83518,0.00689058,0.00689058,0.00689058
82,11821.9,0.3687,0.28412,0.86176,0.95978,0.97781,0.9855,0.94394,0.30116,0.1611,0.83525,0.00682318,0.00682318,0.00682318
83,11969.4,0.36799,0.28077,0.86196,0.95842,0.97417,0.98484,0.94442,0.29992,0.16182,0.83434,0.00675546,0.00675546,0.00675546
84,12106.5,0.37038,0.28072,0.8626,0.95923,0.97309,0.9858,0.94535,0.30089,0.16481,0.83546,0.00668743,0.00668743,0.00668743
85,12242.5,0.368,0.28105,0.8616,0.95526,0.97152,0.9849,0.94429,0.29936,0.16129,0.83455,0.0066191,0.0066191,0.0066191
86,12396.6,0.36137,0.27739,0.86011,0.95226,0.9717,0.98543,0.94351,0.29948,0.16163,0.83419,0.0065505,0.0065505,0.0065505
87,12529.3,0.36837,0.28378,0.86139,0.95936,0.97569,0.98583,0.94637,0.29946,0.16094,0.83503,0.00648164,0.00648164,0.00648164
88,12663.9,0.36064,0.27566,0.85977,0.96683,0.97286,0.98649,0.9472,0.29816,0.1589,0.83422,0.00641254,0.00641254,0.00641254
89,12805.3,0.36203,0.27611,0.86029,0.96068,0.97775,0.9863,0.94693,0.29698,0.15905,0.83367,0.00634322,0.00634322,0.00634322
90,12942,0.36478,0.27807,0.86041,0.96227,0.97122,0.98598,0.94677,0.29734,0.15802,0.83384,0.00627368,0.00627368,0.00627368
91,13070.6,0.35778,0.27284,0.85911,0.96262,0.97625,0.98634,0.94801,0.29572,0.15686,0.8328,0.00620396,0.00620396,0.00620396
92,13206.6,0.35654,0.27231,0.85861,0.9652,0.97278,0.98579,0.9459,0.29547,0.15742,0.83333,0.00613406,0.00613406,0.00613406
93,13335.6,0.35463,0.26849,0.85712,0.96968,0.97231,0.98656,0.94747,0.29422,0.15609,0.83278,0.006064,0.006064,0.006064
94,13472.5,0.35615,0.26798,0.8584,0.96788,0.97231,0.98497,0.94554,0.29447,0.15625,0.83267,0.0059938,0.0059938,0.0059938
95,13613.7,0.35526,0.26814,0.85623,0.96506,0.97457,0.98382,0.9457,0.29457,0.156,0.83252,0.00592349,0.00592349,0.00592349
96,13750.5,0.35367,0.26886,0.85828,0.96859,0.97197,0.98541,0.94545,0.29443,0.15574,0.83264,0.00585307,0.00585307,0.00585307
97,13883.3,0.35439,0.2716,0.85634,0.96744,0.9725,0.98717,0.94869,0.29488,0.15678,0.83278,0.00578256,0.00578256,0.00578256
98,14019.1,0.35432,0.26435,0.85618,0.96801,0.97337,0.98615,0.9474,0.29496,0.15557,0.83246,0.00571198,0.00571198,0.00571198
99,14154.9,0.35229,0.26776,0.85856,0.96748,0.97436,0.98696,0.949,0.29234,0.15525,0.83195,0.00564135,0.00564135,0.00564135
100,14315.1,0.35312,0.26485,0.85619,0.96073,0.97759,0.98692,0.94858,0.29215,0.1562,0.83142,0.00557068,0.00557068,0.00557068
101,14451,0.35434,0.26551,0.85774,0.96295,0.97527,0.98569,0.94711,0.29224,0.15511,0.83143,0.0055,0.0055,0.0055
102,14590.4,0.34388,0.25944,0.85247,0.96136,0.97536,0.98704,0.94977,0.29154,0.15412,0.83129,0.00542932,0.00542932,0.00542932
103,14727.6,0.35037,0.26648,0.85726,0.96807,0.97197,0.98634,0.94761,0.29252,0.15508,0.83219,0.00535865,0.00535865,0.00535865
104,14873.2,0.34973,0.26365,0.8562,0.97084,0.97029,0.98547,0.94776,0.29308,0.15616,0.83239,0.00528802,0.00528802,0.00528802
105,15008.9,0.34641,0.25993,0.85341,0.9548,0.97688,0.98355,0.9456,0.29229,0.1552,0.83231,0.00521744,0.00521744,0.00521744
106,15171.9,0.35055,0.26116,0.85562,0.95387,0.97753,0.98541,0.9469,0.29265,0.15425,0.83231,0.00514693,0.00514693,0.00514693
107,15313.1,0.34593,0.26224,0.85483,0.94236,0.97966,0.98508,0.94631,0.29193,0.15554,0.83212,0.00507651,0.00507651,0.00507651
