epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,11791.6,0.9583,0.39092,1.12005,0.99322,0.9936,0.99478,0.74685,1.02884,0.35248,1.17876,0.0065505,0.0065505,0.0065505
87,11928.1,0.95914,0.39153,1.11712,0.99358,0.99059,0.99475,0.74916,1.02443,0.35347,1.16697,0.00648164,0.00648164,0.00648164
88,12064.5,0.9511,0.39067,1.12142,0.99243,0.99217,0.99473,0.74813,1.02985,0.35487,1.19098,0.00641254,0.00641254,0.00641254
89,12200.9,0.96396,0.38712,1.12516,0.99366,0.9901,0.9948,0.74616,1.03206,0.35478,1.19416,0.00634322,0.00634322,0.00634322
90,12338.7,0.95198,0.38675,1.11616,0.9888,0.99651,0.99486,0.74362,1.0301,0.34977,1.17193,0.00627368,0.00627368,0.00627368
91,12474.6,0.94698,0.37982,1.11192,0.99072,0.99387,0.99478,0.74202,1.03305,0.35004,1.17434,0.00620396,0.00620396,0.00620396
92,12617.6,0.95036,0.38543,1.11157,0.99609,0.98778,0.9947,0.74401,1.03185,0.34959,1.17723,0.00613406,0.00613406,0.00613406
93,12755.4,0.94364,0.38096,1.10874,0.99415,0.98902,0.9947,0.74357,1.02935,0.34799,1.16989,0.006064,0.006064,0.006064
94,12891.5,0.95344,0.38728,1.11411,0.9926,0.99243,0.99473,0.7438,1.03041,0.34871,1.15449,0.0059938,0.0059938,0.0059938
95,13027.7,0.9378,0.38036,1.10336,0.99211,0.9936,0.99479,0.74651,1.02839,0.34639,1.1533,0.00592349,0.00592349,0.00592349
96,13166.2,0.94109,0.37977,1.10939,0.99004,0.99651,0.9948,0.74816,1.03288,0.3472,1.15245,0.00585307,0.00585307,0.00585307
97,13302.5,0.93746,0.37667,1.10501,0.99188,0.99556,0.99485,0.74758,1.02788,0.34554,1.15997,0.00578256,0.00578256,0.00578256
98,13438.6,0.92299,0.37641,1.10114,0.99285,0.99593,0.99483,0.746,1.02872,0.34872,1.17696,0.00571198,0.00571198,0.00571198
99,13574.8,0.93827,0.38013,1.10299,0.99188,0.99491,0.9948,0.74817,1.02605,0.34457,1.15345,0.00564135,0.00564135,0.00564135
100,13710.8,0.93351,0.37571,1.09729,0.99302,0.99427,0.99464,0.74838,1.02762,0.34464,1.14144,0.00557068,0.00557068,0.00557068
101,13846.8,0.92516,0.37018,1.09112,0.99223,0.99476,0.99464,0.74724,1.02988,0.34384,1.13904,0.0055,0.0055,0.0055
102,13983.7,0.93163,0.3761,1.0932,0.99244,0.99396,0.99472,0.74857,1.02792,0.34314,1.1352,0.00542932,0.00542932,0.00542932
103,14119.8,0.92184,0.37181,1.08871,0.9936,0.99377,0.99478,0.7468,1.02528,0.33976,1.13182,0.00535865,0.00535865,0.00535865
104,14256.2,0.91873,0.372,1.08793,0.99243,0.99214,0.99466,0.74789,1.02683,0.34156,1.1333,0.00528802,0.00528802,0.00528802
105,14392.7,0.92127,0.37386,1.08829,0.98958,0.99493,0.99469,0.74824,1.0249,0.34067,1.12892,0.00521744,0.00521744,0.00521744
106,14530,0.91945,0.37201,1.08829,0.98901,0.99493,0.99472,0.74646,1.02644,0.33979,1.13519,0.00514693,0.00514693,0.00514693
107,14666.1,0.90921,0.36766,1.08629,0.98954,0.99534,0.99475,0.74684,1.02559,0.34065,1.1337,0.00507651,0.00507651,0.00507651
108,14802.1,0.91297,0.3668,1.08621,0.99304,0.99185,0.99478,0.74523,1.02459,0.34053,1.13532,0.0050062,0.0050062,0.0050062
109,14938.2,0.91971,0.36944,1.09995,0.99058,0.9936,0.99472,0.74424,1.02325,0.3383,1.14334,0.004936,0.004936,0.004936
110,15074.1,0.91158,0.36267,1.09529,0.99302,0.99338,0.99471,0.74391,1.0186,0.33716,1.15038,0.00486594,0.00486594,0.00486594
111,15211.9,0.907,0.36594,1.09609,0.99302,0.99378,0.99471,0.74352,1.01967,0.33788,1.1559,0.00479604,0.00479604,0.00479604
112,15349.2,0.90023,0.36557,1.08604,0.99184,0.9936,0.9947,0.74225,1.02243,0.33872,1.15413,0.00472632,0.00472632,0.00472632
113,15485.1,0.90258,0.36379,1.08336,0.99195,0.99418,0.99486,0.74341,1.0244,0.3388,1.15092,0.00465678,0.00465678,0.00465678
114,15621.9,0.89674,0.35991,1.08224,0.99187,0.99459,0.99485,0.74595,1.02544,0.33864,1.14971,0.00458746,0.00458746,0.00458746
115,15757.9,0.89546,0.36023,1.08107,0.99065,0.99418,0.99483,0.7459,1.02344,0.33768,1.14906,0.00451836,0.00451836,0.00451836
116,15895.5,0.89892,0.35872,1.08458,0.99013,0.99304,0.99483,0.74621,1.02481,0.33755,1.15103,0.0044495,0.0044495,0.0044495
117,16031.7,0.88271,0.35427,1.07579,0.98916,0.9936,0.99481,0.74765,1.0262,0.33921,1.15368,0.0043809,0.0043809,0.0043809
118,16169.5,0.89398,0.35668,1.07661,0.98845,0.99418,0.99479,0.74508,1.0244,0.33765,1.14916,0.00431257,0.00431257,0.00431257
119,16305.8,0.87546,0.35334,1.07668,0.98843,0.99496,0.99479,0.74582,1.02463,0.33676,1.1483,0.00424454,0.00424454,0.00424454
120,16442.1,0.88889,0.35566,1.07954,0.99114,0.99476,0.99479,0.74605,1.02458,0.33775,1.15084,0.00417682,0.00417682,0.00417682
121,16577.9,0.88064,0.35592,1.0761,0.98994,0.99534,0.9948,0.74725,1.02511,0.33758,1.15176,0.00410942,0.00410942,0.00410942
122,16715.5,0.88363,0.35247,1.07204,0.99015,0.99433,0.99479,0.7476,1.02612,0.33707,1.15418,0.00404237,0.00404237,0.00404237
123,16851.4,0.89142,0.35649,1.08491,0.99015,0.99427,0.99479,0.74647,1.02621,0.3376,1.15717,0.00397568,0.00397568,0.00397568
124,16989.7,0.87386,0.35122,1.07813,0.99071,0.99334,0.99482,0.74507,1.02632,0.33851,1.16112,0.00390936,0.00390936,0.00390936
125,17125.8,0.87337,0.34865,1.07676,0.99245,0.99435,0.99483,0.74646,1.02807,0.33893,1.16685,0.00384344,0.00384344,0.00384344
126,17263.7,0.87876,0.35112,1.07848,0.99234,0.99418,0.99481,0.74553,1.02876,0.33875,1.17153,0.00377792,0.00377792,0.00377792
127,17399.6,0.87454,0.34925,1.07554,0.99011,0.99476,0.99482,0.74721,1.02888,0.33723,1.16962,0.00371283,0.00371283,0.00371283
